order_office,LOCFileNumber,loc_revenue_idr
FKSCLG,LOC-2-2604-000016,1740000
FKSCLG,LOC-2-2604-000017,1365000
FKSCLG,LOC-2-2604-000018,900000
FKSCLG,LOC-2-2604-000019,900000
FKSCLG,LOC-2-2604-000020,900000
FKSCLG,LOC-2-2604-000021,1000000
FKSCLG,LOC-2-2604-000024,2350000
FKSCLG,LOC-2-2604-000025,1825600
FKSCLG,LOC-2-2604-000026,10957500
FKSCLG,LOC-2-2604-000027,2970000
FKSCLG,LOC-2-2604-000028,2970000
FKSCLG,LOC-2-2604-000029,2170000
FKSCLG,LOC-2-2604-000031,1900000
FKSCLG,LOC-2-2604-000032,3225000
FKSCLG,LOC-2-2604-000033,2350000
FKSCLG,LOC-2-2604-000034,3225000
FKSCLG,LOC-2-2604-000038,1000000
FKSCLG,LOC-2-2604-000043,1300000
FKSCLG,LOC-2-2604-000044,900000
FKSCLG,LOC-2-2604-000045,1000000
FKSCLG,LOC-2-2604-000047,4144000
FKSCLG,LOC-2-2604-000048,4144000
FKSCLG,LOC-2-2604-000049,4132800
FKSCLG,LOC-2-2604-000050,6463752
FKSCLG,LOC-2-2604-000051,6455052
FKSCLG,LOC-2-2604-000054,5232876
FKSCLG,LOC-2-2604-000055,4144000
FKSCLG,LOC-2-2604-000056,4144000
FKSCLG,LOC-2-2604-000057,4144000
FKSCLG,LOC-2-2604-000058,4144000
FKSCLG,LOC-2-2604-000059,4144000
FKSCLG,LOC-2-2604-000060,3737000
